f32 bitwise (14),27995,679,41.23,245.8854,247.049,1.3624,0.6364
local get (15),28038,727,38.57,478.9445,478.6354,1.6621,0.3449
func ptrs (16),28385,845,33.59,809.104,809.504,1.9558,0.0403
labels (25),28865,1184,24.38,1738.0819,1738.6273,2.4688,0.4677
switch (26),28103,1226,22.92,416.7975,417.3793,1.3375,0.657
int literals (29),28715,1345,21.35,575.4262,574.8807,1.4284,0.5731
load (29),28571,1352,21.13,519.6417,519.0781,1.382,0.6137
unwind (38),28761,1763,16.31,511.7492,510.9856,1.2866,0.7065
align (38),28504,1828,15.59,398.0255,397.5891,1.2147,0.7795
local tee (41),29708,1895,15.68,824.3197,824.3015,1.438,0.568
debugger (42),36922,5249,7.03,4663.7464,4664.1908,1.8844,0.1073
endianness (46),28535,2105,13.56,525.9366,525.9003,1.254,0.7543
return (48),29014,2216,13.09,697.8098,697.4826,1.3119,0.6823
left-to-right (51),28960,2345,12.35,240.9345,239.9345,1.1031,0.898
nop (70),29168,3191,9.14,214.6215,215.3306,1.0666,0.9318
f32 (87),28980,3928,7.38,407.6246,407.6792,1.106,0.8984
float exprs (95),29715,4738,6.27,545.0939,544.4757,1.1134,0.8834
f64 bitwise (192),31617,8610,3.67,1568.3784,1568.3784,1.18,0.8157
address (200),30002,9187,3.27,231.5829,232.492,1.0295,0.979
i64 (255),30818,11400,2.7,1204.066,1203.8114,1.1023,0.8911
i32 (349),31899,15644,2.04,1320.7047,1320.1775,1.0854,0.9166
names (384),32831,17250,1.9,334.7221,335.8494,1.0162,0.9773
f64 (864),41027,38501,1.07,1214.2259,1214.7531,1.0359,0.9728
f32 cmp (1292),40699,57344,0.71,32842.2827,33738.4446,0.4275,0.4119
f64 cmp (1952),51444,86938,0.59,69426.293,72550.0161,0.1997,0.1638
computing (3470),308739,154646,2.0,369.6615,369.0171,1.006,1.0012
memory copy (4057),63764,181404,0.35,234520.3328,236039.4491,0.2943,0.3027
